,Title,Views,Channel,Comment Count,Likes,Dislikes,Tags,Favourite Count,Video ID
41,Incredibly Late Air France Go-Around St. Maarten during Hurricane Isaac,538753,FlyingDutchFarao,182,1108,42,"['Go-Around', 'Air', 'France', 'Hurricane', 'Isaac', 'Sint', 'St', 'Maarten', 'Crosswind', 'KLM', 'Plane', 'Incredible', 'Crash', 'Maho', 'Beach', 'Storm', 'Very', 'Late', 'Airbus', 'A340', 'Air France (Airline)', 'Airline (Industry)', 'Sint Maarten (Country)', 'Landing', 'Princess', 'Juliana', 'Int.', 'Airplane', 'Airport', 'Amazing', 'Airlines', 'Too', 'Boeing', 'Takeoff', 'Flying', 'Cool', 'landing', 'explosion', 'International', 'gear', 'runway', 'dutch', 'american', 'usa', 'french', 'france', 'royal', 'airlines', 'extreme', 'take', 'off', 'failure', 'fire', 'strike', 'bird', 'fly', 'over', 'touch', 'down', 'smoke', 'overrun', 'Simulator', 'crosswind', 'crabbing']",0,wJaR4azw6NM
84,"Hurricane Isaac to Hit New Orleans on Wednesday August 29, 2012",342231,Frankie MacDonald,969,1264,461,"['Isaac (Religious Leader)', 'Disaster (Quotation Subject)', 'Jazz', 'Storm', 'Weather', 'Sun', 'Lightning', 'Thunder', 'Def', 'Tornado', 'Rain', 'Sunday', 'Jam', 'Flood', 'Sept', 'Live', 'Sunny', 'Day', 'Dennis', 'Wind']",0,iq3e5baAC20
4,Harrowing dog rescue!  Surviving hurricane Isaac.,335874,Steve Spell II,1047,2133,330,"['training', 'hurricane', 'photos', 'parent', 'playing', 'movie making', 'sing', 'how to raise a child', 'raw', 'playing with', 'health', 'how', 'raw footage', 'kid', 'fun', 'spoiled kids', 'storm', 'toy', 'healthy', 'songs', 'severe weather', 'ninja', 'music', 'parenting', 'fun with', 'school', 'survival', 'kids', 'weather', 'raising a child', 'comedy', 'toys', 'tips', 'funny', 'child discipline', 'fitness', 'song', 'how to']",0,O1mR_lSYLvg
0,"Hurricane ISAAC - New Orleans, Louisiana - August 28-29, 2012",321848,Tropmet | Storm Chasing,261,1066,58,"['Hurricane', 'Isaac', 'Tropical', 'Cyclone', 'Storm', 'Category', 'One', 'August', '2012', 'Louisiana', 'New', 'Orleans', 'Parish', 'French', 'Quarter', 'Big', 'Easy', 'Downtown', 'Levee', 'Mississippi', 'River', 'Lake', 'Pontchartrain', 'Superdome', 'Convention', 'Center', 'Canal', 'Poydras', 'Street', 'Strong', 'Violent', 'Intense', 'Eyewall', 'Wind', '75', '85', '95', '100', 'mph', 'Winds', 'High', 'Rise', 'Buildings', 'Acceleration', 'Venturi', 'Effect', 'Heavy', 'Rain', 'Surge', 'Wave', 'Waves', 'Coastal', 'Flood', 'Flooding', 'Disaster', 'Damage', 'Deadly', 'Landfall', 'Thrashing', 'Palm', 'Palms', 'Tree', 'Howling', 'Warning', 'Chase', 'Chasing', 'Chaser', 'Michael', 'Laca', 'Video', '1080p']",0,Syim9Wf3Kh4
496,Sexy St Maarten Airport and Beach!,197578,JustPlanes,160,920,38,"['St Maarten Airport', 'St Maarten', 'Maho Beach', 'Sunset Bar', 'Blu-ray Disc (Product Line)', 'Maho Beach (Location)', 'Extreme Airport', 'Most Dangerous Airport', 'Dangerous Landing', 'Airplane Aviation Flight']",0,XieH48Gr5Zc
9,"Hurricane Isaac pounds Key West, Florida - August 27, 2012",163064,Ultimate Chase,32,146,6,"['hurricane', 'isaac', 'video', 'wind', 'weather', 'science', 'cyclone', 'key west', 'florida', 'tropical storm', 'august', 'ultimate', 'chase', 'mike', 'theiss', 'bahia', 'honda', 'bridge']",0,7OS0dk-Thbc
16,Hurricane Isaac Media Coverage | The Daily Show,118007,Comedy Central UK,10,577,6,"['Stewart', 'Jon', 'comedy', 'daily show tlc', 'coverage', 'jon stewart final daily show', 'video', 'hurricane isaac', 'Trevor', 'to', 'replace', 'daily show hurricane sandy', 'watch', 'comedy central uk', 'Noah', 'the daily show', 'humour', 'daily show jon stewart', 'daily show hurricane isaac', 'republican nation convention', 'tampa', 'CNN', 'daily show hurricane katrina', 'jon stewart goodbye', 'daily show obama', 'funny videos', 'lol', 'hurricane issac', 'jon stewart', 'august 2012', 'daily show best moments', 'funny']",0,2gIdRQ9L34s
14,Jim Cantore Tebowing during Hurricane Isaac,108857,gobluecas2,37,110,11,['Tebowing'],0,gmJYBELkPr4
21,"SCARY video of a massive tornado from Hurricane Isaac - Ocean Springs, Mississippi",99067,Reed Timmer,174,550,48,"['tornado', 'mississippi', 'isaac', 'video', 'hurricane', 'footage', 'news', 'damage', 'debris', 'gulf', 'ocean springs', 'warning', 'New', 'Orleans', 'slidell', 'tvn', 'Gulfport', 'chasers', 'tropical', 'storm', 'august', '29', '2012']",0,Y6ozSGBjbEU
139,"Crazy Hurricane Isaac footage! Tornadic outer bands and coastal flooding from Waveland, MS!",72444,Reed Timmer,66,216,29,['2012'],0,4T9O3A5XKDE
